Team,Year,Gold,Silver,Bronze,Number of Athletes,NOC,Host country,isHost,Total_medals,Number of events
Australia,1984,4,8,12,242,AUS,USA,0,24,137
Australia,1988,3,6,5,252,AUS,KOR,0,14,145
Australia,1992,7,9,11,278,AUS,ESP,0,27,153
Australia,1996,9,9,22,412,AUS,USA,0,40,210
Australia,2000,15,25,17,603,AUS,AUS,1,57,265
Australia,2004,17,16,17,460,AUS,GRC,0,50,215
Australia,2008,14,15,17,429,AUS,CHN,0,46,216
Australia,2012,7,16,12,398,AUS,GBR,0,35,206
Australia,2016,8,11,10,414,AUS,BRA,0,29,192
Australia,2020,17,7,22,489,AUS,JPN,0,46,193
Australia,2024,18,18,16,474,AUS,FRA,0,52,205
Brazil,1984,1,5,2,147,BRA,USA,0,8,82
Brazil,1988,1,2,3,157,BRA,KOR,0,6,106
Brazil,1992,2,1,0,181,BRA,ESP,0,3,107
Brazil,1996,2,2,9,212,BRA,USA,0,13,91
Brazil,2000,0,4,5,189,BRA,AUS,0,9,94
Brazil,2004,4,1,3,234,BRA,GRC,0,8,131
Brazil,2008,3,3,8,258,BRA,CHN,0,14,143
Brazil,2012,3,4,8,236,BRA,GBR,0,15,135
Brazil,2016,6,5,6,448,BRA,BRA,1,17,219
Brazil,2020,7,6,8,319,BRA,JPN,0,21,142
Brazil,2024,3,7,10,289,BRA,FRA,0,20,146
China,1984,15,8,9,215,CHN,USA,0,32,105
China,1988,4,11,12,270,CHN,KOR,0,27,149
China,1992,14,20,13,233,CHN,ESP,0,47,140
China,1996,13,20,11,277,CHN,USA,0,44,152
China,2000,24,14,13,252,CHN,AUS,0,51,159
China,2004,27,17,13,354,CHN,GRC,0,57,198
China,2008,50,19,24,567,CHN,CHN,1,93,252
China,2012,35,26,23,354,CHN,GBR,0,84,202
China,2016,25,18,25,378,CHN,BRA,0,68,205
China,2020,38,32,18,417,CHN,JPN,0,88,210
China,2024,40,27,24,396,CHN,FRA,0,91,211
France,1984,5,7,16,238,FRA,USA,0,28,139
France,1988,6,4,6,266,FRA,KOR,0,16,167
France,1992,8,5,15,331,FRA,ESP,0,28,194
France,1996,14,7,15,293,FRA,USA,0,36,181
France,2000,13,14,10,335,FRA,AUS,0,37,195
France,2004,11,9,13,307,FRA,GRC,0,33,191
France,2008,7,16,18,308,FRA,CHN,0,41,203
France,2012,11,10,12,323,FRA,GBR,0,33,187
France,2016,10,18,14,390,FRA,BRA,0,42,200
France,2020,10,12,11,396,FRA,JPN,0,33,194
France,2024,16,26,22,601,FRA,FRA,1,64,223
Great Britain,1984,5,11,21,337,GBR,USA,0,37,190
Great Britain,1988,5,10,9,344,GBR,KOR,0,24,190
Great Britain,1992,5,3,12,359,GBR,ESP,0,20,200
Great Britain,1996,1,8,6,298,GBR,USA,0,15,174
Great Britain,2000,11,10,6,301,GBR,AUS,0,27,176
Great Britain,2004,9,8,12,258,GBR,GRC,0,29,160
Great Britain,2008,19,13,16,301,GBR,CHN,0,48,183
Great Britain,2012,28,16,19,525,GBR,GBR,1,63,246
Great Britain,2016,27,23,17,357,GBR,BRA,0,67,196
Great Britain,2020,22,21,22,392,GBR,JPN,0,65,197
Great Britain,2024,13,22,28,343,GBR,FRA,0,63,174
Japan,1984,10,7,14,226,JPN,USA,0,31,147
Japan,1988,4,3,7,254,JPN,KOR,0,14,165
Japan,1992,3,8,11,247,JPN,ESP,0,22,162
Japan,1996,3,6,5,296,JPN,USA,0,14,164
Japan,2000,5,8,5,255,JPN,AUS,0,18,152
Japan,2004,16,9,12,300,JPN,GRC,0,37,166
Japan,2008,9,7,9,324,JPN,CHN,0,25,173
Japan,2012,7,13,17,287,JPN,GBR,0,37,177
Japan,2016,12,8,21,335,JPN,BRA,0,41,186
Japan,2020,27,14,17,613,JPN,JPN,1,58,222
Japan,2024,20,12,13,430,JPN,FRA,0,45,166
Korea,2024,13,9,10,147,KOR,FRA,0,32,104
South Korea,1984,6,6,7,174,KOR,USA,0,19,96
South Korea,1988,12,10,10,398,KOR,KOR,1,32,217
South Korea,1992,10,5,8,215,KOR,ESP,0,23,130
South Korea,1996,6,13,3,288,KOR,USA,0,22,156
South Korea,2000,8,9,8,271,KOR,AUS,0,25,140
South Korea,2004,8,11,8,249,KOR,GRC,0,27,145
South Korea,2008,12,9,7,253,KOR,CHN,0,28,139
South Korea,2012,13,8,6,243,KOR,GBR,0,27,138
South Korea,2016,9,3,8,199,KOR,BRA,0,20,115
South Korea,2020,6,4,10,237,KOR,JPN,0,20,120
Spain,1984,1,2,2,179,ESP,USA,0,5,104
Spain,1988,1,1,2,226,ESP,KOR,0,4,130
Spain,1992,13,7,2,412,ESP,ESP,1,22,195
Spain,1996,5,6,6,280,ESP,USA,0,17,156
Spain,2000,3,3,5,316,ESP,AUS,0,11,165
Spain,2004,3,10,6,310,ESP,GRC,0,19,153
Spain,2008,5,9,3,281,ESP,CHN,0,17,145
Spain,2012,3,10,4,274,ESP,GBR,0,17,133
Spain,2016,6,4,6,303,ESP,BRA,0,16,143
Spain,2020,3,8,6,334,ESP,JPN,0,17,146
Spain,2024,5,4,9,400,ESP,FRA,0,18,150
United States,1984,82,61,30,519,USA,USA,1,173,217
United States,1988,36,31,27,526,USA,KOR,0,94,230
United States,1992,36,34,37,534,USA,ESP,0,107,247
United States,1996,43,31,25,635,USA,USA,1,99,261
United States,2000,35,24,31,575,USA,AUS,0,90,261
United States,2004,35,39,25,521,USA,GRC,0,99,249
United States,2008,33,39,34,575,USA,CHN,0,106,253
United States,2012,43,27,28,517,USA,GBR,0,98,240
United States,2016,45,36,36,544,USA,BRA,0,117,240
United States,2020,39,41,33,633,USA,JPN,0,113,245
United States,2024,39,42,41,619,USA,FRA,0,122,234
