Name,Team,Year,Gold,Silver,Bronze
(jr) Larocca,Argentina,2024,0,0,0
. Chadalavada,India,2020,0,0,0
. Deni,Indonesia,2020,0,0,0
671,China,2024,0,0,1
A Alayed,Saudi Arabia,2024,0,0,0
A Dijiang,China,1992,0,0,0
A Lamusi,China,2012,0,0,0
A Luypaert,Belgium,2020,1,0,0
A Vanbellinghen,Belgium,2020,0,0,0
A'ja Wilson,United States,2020,1,0,0
A'ja Wilson,United States,2024,1,0,0
A. Fernando,Sri Lanka,1996,0,0,0
A. Mayavo,Malaysia,1992,0,0,0
A. West,Great Britain,2004,0,0,0
A. West,Great Britain,2008,0,1,0
ABNER,Brazil,2020,1,0,0
ADRIANA,Brazil,2024,0,1,0
ALINE,Brazil,2020,0,0,0
AMI,Japan,2024,1,0,0
AMIR,Kazakhstan,2024,0,0,0
AMIT,India,2020,0,0,0
ANDRESSA,Brazil,2020,0,0,0
ANDRESSINHA,Brazil,2020,0,0,0
ANGELINA,Brazil,2020,0,0,0
ANGELINA,Brazil,2024,0,1,0
ANKITA,India,2024,0,0,0
ANTI,Italy,2024,0,0,0
ANTONIA,Brazil,2024,0,1,0
ANTONY,Brazil,2020,1,0,0
AYUMI,Japan,2024,0,0,0
Aa Joaquim,Angola,1996,0,0,0
Aaboe Sloth,Denmark,2024,0,1,0
Aadam Khamis,Bahrain,2008,0,0,0
Aadjijatmiko H.,Indonesia-1,1992,0,0,0
Aadjijatmiko H.,Indonesia-1,1996,0,0,0
Aafke Hament,Netherlands,1992,0,0,0
Aagaard Hansen,Denmark,2024,0,0,0
Aagje Vanwalleghem,Belgium,2004,0,0,0
Aagot Hansen,Denmark,2024,0,0,0
Aaliyah Butler,United States,2024,1,0,0
Aaliyah Edwards,Canada,2020,0,0,0
Aaliyah Edwards,Canada,2024,0,0,0
Aan Hussain,Maldives,2024,0,0,0
Aarik Wilson,United States,2008,0,0,0
Aarn Padilla,Spain,2008,0,0,0
Aarn Padilla,Spain,2012,0,0,0
Aarn Rubio,Mexico,2004,0,0,0
Aarne Lindroos,Finland,1984,0,0,0
Aarne Lindroos,Finland,1988,0,0,0
Aaron Armstrong,Trinidad and Tobago,2008,1,0,0
Aaron Brown,Canada,2012,0,0,0
Aaron Brown,Canada,2016,0,0,1
Aaron Brown,Canada,2020,0,0,1
Aaron Brown,Canada,2024,1,0,0
Aaron Chia,Malaysia,2020,0,0,1
Aaron Chia,Malaysia,2024,0,0,1
Aaron Cleare,Bahamas,2004,0,0,0
Aaron Cook,Great Britain,2008,0,0,0
Aaron Cook,Moldova,2016,0,0,0
Aaron Cummings,United States,2024,0,0,0
Aaron Dupnai,Papua New Guinea,1988,0,0,0
Aaron Egbele,Nigeria,2004,0,0,1
Aaron Fara,Austria,2024,0,0,0
Aaron Feltham,Canada,2008,0,0,0
